Placa,Grupo,Modelo_Original,Modelo_Padrao,Modelo_Simplificado
SEI5B94,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEJ1H96,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEJ1H97,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEJ1H99,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEK9C81,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEL0B95,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL0B96,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL0E72,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL0E74,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL0E75,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL0E76,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL1F32,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL1F35,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL1F39,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEL1F40,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
